INFO  - 2017-11-13 10:28:18.775; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-11-13 10:28:18.813; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/contexts at interval 0
INFO  - 2017-11-13 10:28:18.824; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2017-11-13 10:28:18.908; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/webapps/solr.war!/ to /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2017-11-13 10:28:21.652; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-11-13 10:28:21.783; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-11-13 10:28:21.903; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-11-13 10:28:21.904; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-11-13 10:28:21.908; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-11-13 10:28:22.167; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/solr.xml
INFO  - 2017-11-13 10:28:22.354; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr
INFO  - 2017-11-13 10:28:22.365; org.apache.solr.core.CoreContainer; New CoreContainer 575360353
INFO  - 2017-11-13 10:28:22.366; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-11-13 10:28:22.385; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-11-13 10:28:22.386; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-11-13 10:28:22.436; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-11-13 10:28:22.442; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-11-13 10:28:22.443; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-11-13 10:28:22.444; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-11-13 10:28:22.444; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-11-13 10:28:22.445; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-11-13 10:28:22.445; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-11-13 10:28:22.446; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-11-13 10:28:22.816; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-11-13 10:28:22.819; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-11-13 10:28:22.820; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-11-13 10:28:22.823; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-11-13 10:28:23.145; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr
INFO  - 2017-11-13 10:28:23.158; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/
